Province,School,Sector,Learners
EC,NOBUNTU JUNIOR SECONDARY SCHOOL,Public,1
FS,FRIESLAND PF/S,Public,1
WC,BRIDGES ACADEMY,INDEPENDENT,1
FS,KROONTJIE PF/S,Public,2
FS,FONTEIN PF/S,Public,2
FS,VAN DYKSKRAAL PF/S,Public,2
GP,ACADEMY CHARITY TRUST-JHB,INDEPENDENT,2
GP,FAIR RIDGE PRIVATE SCHOOL,INDEPENDENT,3
KZ,SELBOURNE PRIMARY SCHOOL,Public,3
KZ,HARTLEY ROAD PRIMARY SCHOOL,Public,3
GP,SPRINGFIELD COLLEGE PRETORIA,INDEPENDENT,3
FS,MOOIGELEGEN PF/S,Public,3
FS,LEHLOHONOLO PF/S,Public,3
NW,BARNARDS SECONDARY SCHOOL,INDEPENDENT,4
EC,LYNEDOCH FARM SCHOOL,Public,4
FS,THALIA PF/S,Public,4
FS,KHUTLO E NTLE PF/S,Public,4
FS,SKURWEPOORT PF/S,Public,4
FS,SERNICK PF/S,Public,4
FS,HELDERWATER  PF/S,Public,4
FS,BANJALAND PF/S,Public,4
FS,MEYER-GEDENK PF/S,Public,4
FS,MAKATELA  PF/S,Public,4
FS,MODIYA PF/S,Public,4
FS,GROENPAN PF/S,Public,4
EC,EENSAAMDAL JUNIOR PRIMARY SCHOOL,Public,4
EC,MXESIBE HOSPITAL SENIOR PRIMARY SCHOOL,Public,5
FS,LEKKERLEWE PF/S,Public,5
FS,REHABILE PF/S,Public,5
FS,LEKUTU PF/S,Public,5
FS,OOSTHUIZENSHOEK PF/S,Public,5
FS,LOOD KLOPPER PF/S,Public,5
EC,VOORKLOOF U C C PRIMARY SCHOOL,Public,5
EC,ROLOSHIRAMBA PRIMARY SCHOOL,Public,6
NC,BOPLAAS PRIMÊRE SKOOL,Public,6
FS,LEWENSBRON PF/S,Public,6
FS,ABERFELDY PF/S,Public,6
FS,PHELA HANTLE PF/S,Public,6
FS,TABOR PF/S,Public,6
FS,NOKANAPEDI PF/S,Public,6
FS,NOVA SCOTIA PF/S,Public,6
FS,DOORNSPRUIT PF/S,Public,6
