Topic,Year,Words
Africa,2009-06-03,266
Banking sector,2009-06-03,0
Black economic empowerment,2009-06-03,54
Communications technology/prices,2009-06-03,40
Corruption,2009-06-03,42
Crime,2009-06-03,288
Democratic institutions,2009-06-03,0
Development finance institutions,2009-06-03,0
Economic recession,2009-06-03,196
Economic recovery/growth,2009-06-03,0
Education,2009-06-03,363
Elections,2009-06-03,0
Electricity supply/energy security,2009-06-03,13
Environment/climate change,2009-06-03,31
Gender equality,2009-06-03,9
Health,2009-06-03,211
Housing,2009-06-03,61
Incentives for investment,2009-06-03,0
Incentives/support for industry,2009-06-03,96
Inequality,2009-06-03,0
Infrastructure development,2009-06-03,132
Innovation,2009-06-03,0
International relations (outside Africa),2009-06-03,135
Jobs,2009-06-03,342
Judicial system,2009-06-03,79
Labour broking,2009-06-03,0
Land reform/restitution,2009-06-03,0
Local government,2009-06-03,0
Mandela,2009-06-03,191
Migration/visas/borders,2009-06-03,0
Mining,2009-06-03,0
National minimum wage,2009-06-03,0
National Social Security Fund,2009-06-03,0
Operation Phakisa,2009-06-03,0
People with disabilities,2009-06-03,11
Police service,2009-06-03,0
Poverty,2009-06-03,180
Protests/violence,2009-06-03,0
Public service performance monitoring,2009-06-03,239
Public service spending cuts,2009-06-03,0
Racism,2009-06-03,0
Rhino poaching,2009-06-03,0
Rural development/agriculture,2009-06-03,266
SAA,2009-06-03,0
Service delivery,2009-06-03,0
Small business development,2009-06-03,59
Smart IDs,2009-06-03,0
Social cohesion/nation building,2009-06-03,399
Social grants,2009-06-03,77
Social security,2009-06-03,0
State-owned enterprises,2009-06-03,0
Strikes,2009-06-03,0
Tax Amendment Act,2009-06-03,0
Tax policy,2009-06-03,0
Tourism,2009-06-03,0
Transport,2009-06-03,108
Urbanisation,2009-06-03,0
Violence against women and children,2009-06-03,0
Water/sanitation,2009-06-03,18
Workers' rights,2009-06-03,0
Youth development/employment,2009-06-03,74
Total,2009-06-03,3980
Africa,2010-02-11,67
Banking sector,2010-02-11,0
Black economic empowerment,2010-02-11,27
Communications technology/prices,2010-02-11,59
Corruption,2010-02-11,73
Crime,2010-02-11,114
Democratic institutions,2010-02-11,0
Development finance insitutions,2010-02-11,0
Economic recession,2010-02-11,193
Economic recovery/growth,2010-02-11,0
Education,2010-02-11,374
Elections,2010-02-11,0
Electricity supply/energy security,2010-02-11,68
Environment/climate change,2010-02-11,115
Gender equality,2010-02-11,0
Health,2010-02-11,196
Housing,2010-02-11,98
Incentives for investment,2010-02-11,0
Incentives/support for industry,2010-02-11,14
Inequality,2010-02-11,0
Infrastructure development,2010-02-11,35
Innovation,2010-02-11,0
International relations (outside Africa),2010-02-11,12
Jobs,2010-02-11,157
Judicial system,2010-02-11,0
Labour broking,2010-02-11,0
Land reform/restitution,2010-02-11,33
Local government,2010-02-11,175
Mandela,2010-02-11,331
Migration/visas/borders,2010-02-11,0
Mining,2010-02-11,0
National minimum wage,2010-02-11,0
National Social Security Fund,2010-02-11,0
Operation Phakisa,2010-02-11,0
People with disabilities,2010-02-11,0
Police service,2010-02-11,0
Poverty,2010-02-11,0
Protests/violence,2010-02-11,0
Public service performance monitoring,2010-02-11,438
Public service spending cuts,2010-02-11,0
Racism,2010-02-11,0
Rhino poaching,2010-02-11,0
Rural development/agriculture,2010-02-11,113
SAA,2010-02-11,0
Service delivery,2010-02-11,0
Small business development,2010-02-11,0
Smart IDs,2010-02-11,0
Social cohesion/nation building,2010-02-11,224
Social grants,2010-02-11,52
Social security,2010-02-11,0
State-owned enterprises,2010-02-11,0
Strikes,2010-02-11,0
Tax Amendment Act,2010-02-11,0
Tax policy,2010-02-11,0
Tourism,2010-02-11,0
Transport,2010-02-11,27
Urbanisation,2010-02-11,0
Violence against women and children,2010-02-11,0
Water/sanitation,2010-02-11,36
Workers' rights,2010-02-11,0
Youth development/employment,2010-02-11,113
Africa,2011-02-10,342
Banking sector,2011-02-10,0
Black economic empowerment,2011-02-10,0
Communications technology/prices,2011-02-10,42
Corruption,2011-02-10,141
Crime,2011-02-10,207
Democratic institutions,2011-02-10,151
Development finance insitutions,2011-02-10,0
Economic recession,2011-02-10,59
Economic recovery/growth,2011-02-10,0
Education,2011-02-10,245
Elections,2011-02-10,0
Electricity supply/energy security,2011-02-10,104
Environment/climate change,2011-02-10,0
Gender equality,2011-02-10,0
Health,2011-02-10,204
Housing,2011-02-10,56
Incentives for investment,2011-02-10,0
Incentives/support for industry,2011-02-10,75
Inequality,2011-02-10,0
Infrastructure development,2011-02-10,136
Innovation,2011-02-10,0
International relations (outside Africa),2011-02-10,130
Jobs,2011-02-10,629
Judicial system,2011-02-10,0
Labour broking,2011-02-10,11
Land reform/restitution,2011-02-10,0
Local government,2011-02-10,207
Mandela,2011-02-10,392
Migration/visas/borders,2011-02-10,0
Mining,2011-02-10,148
National minimum wage,2011-02-10,0
National Social Security Fund,2011-02-10,52
Operation Phakisa,2011-02-10,0
People with disabilities,2011-02-10,0
Police service,2011-02-10,0
Poverty,2011-02-10,0
Protests/violence,2011-02-10,0
Public service performance monitoring,2011-02-10,50
Public service spending cuts,2011-02-10,0
Racism,2011-02-10,0
Rhino poaching,2011-02-10,0
Rural development/agriculture,2011-02-10,116
SAA,2011-02-10,0
Service delivery,2011-02-10,245
Small business development,2011-02-10,165
Smart IDs,2011-02-10,0
Social cohesion/nation building,2011-02-10,240
Social grants,2011-02-10,69
Social security,2011-02-10,0
State-owned enterprises,2011-02-10,0
Strikes,2011-02-10,0
Tax Amendment Act,2011-02-10,0
Tax policy,2011-02-10,0
Tourism,2011-02-10,228
Transport,2011-02-10,25
Urbanisation,2011-02-10,0
Violence against women and children,2011-02-10,0
Water/sanitation,2011-02-10,51
Workers' rights,2011-02-10,0
Youth development/employment,2011-02-10,39
Africa,2012-02-09,42
Banking sector,2012-02-09,0
Black economic empowerment,2012-02-09,52
Communications technology/prices,2012-02-09,
Corruption,2012-02-09,178
